ID;Name;global_id;AdmArea;District;Address;Capacity;DepartamentalAffiliation;ObjectOperOrgName;ObjectOperOrgPhone;Longitude_WGS84;Latitude_WGS84;geoData
81;Велосипедная парковка № 37136 «Гимназия № 1558 им. Росалии де Кастро»;2757759;Северо-Восточный административный округ;Бабушкинский район;Ленская улица, дом 28, корпус 1;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.654471;55.868044;{type=Point, coordinates=[37.654470999909, 55.868043999915]}
83;Велосипедная парковка № 37045 «Школа № 750»;2757761;Северо-Восточный административный округ;Ярославский район;Палехская улица, дом 8;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.695943;55.864923;{type=Point, coordinates=[37.69594299971, 55.864922999947]}
86;Велосипедная парковка № 37047 «Школа № 751» (1);2757764;Северо-Восточный административный округ;Лосиноостровский район;Таймырская улица, дом 5, строение 2;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.697449;55.884386;{type=Point, coordinates=[37.697449000131, 55.884386000213]}
87;Велосипедная парковка № 37049 «Школа № 751»;2757765;Северо-Восточный административный округ;Лосиноостровский район;Таймырская улица, дом 3;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.699025;55.883976;{type=Point, coordinates=[37.699024999974, 55.883976000196]}
88;Велосипедная парковка № 37051 «Школа № 753»;2757766;Северо-Восточный административный округ;район Северное Медведково;улица Грекова, дом 20;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.664243;55.891110;{type=Point, coordinates=[37.664243000233, 55.891109999796]}
89;Велосипедная парковка № 37056 «Школа № 760 им. Маресьева»;2757767;Северо-Восточный административный округ;Ярославский район;Ярославское шоссе, дом 147;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.719983;55.880987;{type=Point, coordinates=[37.719983000081, 55.880987000206]}
91;Велосипедная парковка № 37146 «Лицей информационных технологий № 1537»;2757768;Северо-Восточный административный округ;Ярославский район;улица Проходчиков, дом 9;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.718627;55.874295;{type=Point, coordinates=[37.718627000347, 55.874295000249]}
92;Велосипедная парковка № 37088 «Школа № 1955»;2757769;Северо-Восточный административный округ;Лосиноостровский район;Тайнинская улица, дом 15, корпус 3;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.683001;55.884724;{type=Point, coordinates=[37.683001000158, 55.884723999827]}
93;Велосипедная парковка № 37038 «Школа № 352» (1);2757770;Северо-Восточный административный округ;район Ростокино;Малахитовая улица, дом 15;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.664228;55.831717;{type=Point, coordinates=[37.664228000164, 55.831716999883]}
94;Велосипедная парковка № 37040 «Школа № 529»;2757771;Северо-Восточный административный округ;Лосиноостровский район;2-я Напрудная улица, дом 17;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.688892;55.879303;{type=Point, coordinates=[37.688891999976, 55.879302999896]}
95;Велосипедная парковка № 37053 «Школа № 756»;2757772;Северо-Восточный административный округ;район Северное Медведково;улица Грекова, дом 11А;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.659036;55.890495;{type=Point, coordinates=[37.65903600013, 55.890495000159]}
18;Велосипедная парковка № 37008 «Школа № 250»;2757774;Северо-Восточный административный округ;Бутырский район;улица Гончарова, дом 15Б;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.586505;55.817643;{type=Point, coordinates=[37.586505000011, 55.817642999868]}
20;Велосипедная парковка № 37166 «Московский кадетский корпус Героев Космоса № 1783»;2757776;Северо-Восточный административный округ;Останкинский район;3-я Новоостанкинская улица, дом 6;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.626826;55.817960;{type=Point, coordinates=[37.626826000116, 55.817960000195]}
21;Велосипедная парковка № 37116 «Центр образования № 1499»;2757777;Северо-Восточный административный округ;район Ростокино;Ростокинская улица, дом 3;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.660337;55.835977;{type=Point, coordinates=[37.660336999613, 55.835977000114]}
23;Велосипедная парковка № 37122 «Гимназия № 1503»;2757779;Северо-Восточный административный округ;Алексеевский район;улица Павла Корчагина, дом 18;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.662338;55.818512;{type=Point, coordinates=[37.662337999603, 55.818512000061]}
24;Велосипедная парковка № 37009 «Школа № 252»;2757780;Северо-Восточный административный округ;Бутырский район;улица Добролюбова, дом 14;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.594031;55.814858;{type=Point, coordinates=[37.594031000121, 55.814857999861]}
26;Велосипедная парковка № 37107 «Центр образования № 1459»;2757782;Северо-Восточный административный округ;район Отрадное;улица Декабристов, дом 26А;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.608788;55.860772;{type=Point, coordinates=[37.608787999891, 55.860771999931]}
27;Велосипедная парковка № 37062 «Школа № 952»;2757783;Северо-Восточный административный округ;район Отрадное;улица Декабристов, дом 8, корпус 4;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.596589;55.863392;{type=Point, coordinates=[37.596588999605, 55.863391999962]}
96;Велосипедная парковка № 37021 «Школа № 290»;2757785;Северо-Восточный административный округ;район Северное Медведково;улица Грекова, дом 11Б;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.656971;55.890503;{type=Point, coordinates=[37.656970999667, 55.890502999771]}
97;Велосипедная парковка № 37154 «Спецшкола - интернат»;2757786;Северо-Восточный административный округ;район Ростокино;2-й Сельскохозяйственный проезд, дом 2;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.645258;55.834821;{type=Point, coordinates=[37.645257999628, 55.83482099991]}
52;Велосипедная парковка № 37065 «Школа № 958»;2757788;Северо-Восточный административный округ;район Отрадное;Северный бульвар, дом 11;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.608500;55.868309;{type=Point, coordinates=[37.608500000011, 55.86830899986]}
53;Велосипедная парковка № 37037 «Школа № 332»;2757789;Северо-Восточный административный округ;район Бибирево;улица Корнейчука, дом 52А;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.625845;55.895538;{type=Point, coordinates=[37.6258450003, 55.895537999796]}
55;Велосипедная парковка № 37118 «Центр образования № 1682»;2757791;Северо-Восточный административный округ;район Бибирево;улица Корнейчука, дом 14А;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.609719;55.900882;{type=Point, coordinates=[37.609719000376, 55.900881999972]}
56;Велосипедная парковка № 37066 «Школа № 960»;2757792;Северо-Восточный административный округ;район Бибирево;улица Конёнкова, дом 4А;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.608144;55.888180;{type=Point, coordinates=[37.608144000358, 55.888179999753]}
57;Велосипедная парковка № 37005 «Школа № 245»;2757793;Северо-Восточный административный округ;район Бибирево;улица Конёнкова, дом 10А;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.612743;55.890883;{type=Point, coordinates=[37.612743000016, 55.890883000107]}
59;Велосипедная парковка № 37024 «Школа № 298»;2757794;Северо-Восточный административный округ;Лосиноостровский район;Изумрудная улица, дом 13, корпус 3;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.680794;55.872517;{type=Point, coordinates=[37.680794000303, 55.872516999877]}
60;Велосипедная парковка № 37149 «Спецшкола № 309»;2757795;Северо-Восточный административный округ;Бабушкинский район;улица Коминтерна, дом 16, корпус 1;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.679557;55.863480;{type=Point, coordinates=[37.679557000394, 55.863480000091]}
61;Велосипедная парковка № 37147 «Лицей № 1568»;2757796;Северо-Восточный административный округ;район Южное Медведково;проезд Шокальского, дом 7, корпус 2;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.642894;55.874799;{type=Point, coordinates=[37.642894000313, 55.874799000033]}
62;Велосипедная парковка № 37033 «Школа № 307»;2757797;Северо-Восточный административный округ;район Южное Медведково;проезд Шокальского, дом 11, корпус 2;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.642896;55.875222;{type=Point, coordinates=[37.642895999963, 55.875222000175]}
63;Велосипедная парковка № 37074 «Школа № 1237 им. Пабло Неруды»;2757798;Северо-Восточный административный округ;район Южное Медведково;проезд Шокальского, дом 11, корпус 3;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.641773;55.874424;{type=Point, coordinates=[37.641772999856, 55.874423999764]}
66;Велосипедная парковка № 37110 «Центр образования № 1482»;2757801;Северо-Восточный административный округ;район Южное Медведково;Заповедная улица, дом 12;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.636041;55.867181;{type=Point, coordinates=[37.636041000047, 55.867181000123]}
67;Велосипедная парковка № 37060 «Школа № 910»;2757802;Северо-Восточный административный округ;Бабушкинский район;Ленская улица, дом 6;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.671186;55.866220;{type=Point, coordinates=[37.671186000012, 55.866219999834]}
68;Велосипедная парковка № 37151 «Специальная начальная школа - детский сад № 1697»;2757803;Северо-Восточный административный округ;район Свиблово;улица Амундсена, дом 8, корпус 1;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.660587;55.853323;{type=Point, coordinates=[37.660586999858, 55.853323000234]}
69;Велосипедная парковка № 37144 «Прогимназия № 1779»;2757804;Северо-Восточный административный округ;район Свиблово;проезд Русанова, дом 15, строение 1;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.642921;55.854662;{type=Point, coordinates=[37.642921000077, 55.854662000141]}
70;Велосипедная парковка № 37142 «Прогимназия № 1779»;2757805;Северо-Восточный административный округ;район Свиблово;улица Седова, дом 12;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.639198;55.853009;{type=Point, coordinates=[37.639197999756, 55.85300899986]}
71;Велосипедная парковка № 37143 «Прогимназия № 1779»;2757806;Северо-Восточный административный округ;район Свиблово;улица Седова, дом 12, строение 3;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.639208;55.853042;{type=Point, coordinates=[37.639207999801, 55.853041999865]}
72;Велосипедная парковка № 37137 «Гимназия № 1565 Свиблово»;2757807;Северо-Восточный административный округ;район Свиблово;улица Седова, дом 4, корпус 1;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.642682;55.852916;{type=Point, coordinates=[37.642681999702, 55.852916000156]}
73;Велосипедная парковка № 37097 «Центр образования № 293»;2757808;Северо-Восточный административный округ;Алексеевский район;улица Касаткина, дом 1;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.652070;55.826980;{type=Point, coordinates=[37.652069999886, 55.826980000166]}
74;Велосипедная парковка № 37167 «Спортивно - адаптивная школа»;2757809;Северо-Восточный административный округ;Алексеевский район;улица Касаткина, дом 23;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.667592;55.823735;{type=Point, coordinates=[37.667591999562, 55.8237349998]}
98;Велосипедная парковка № 31036 «Школа № 1397»;2757810;Центральный административный округ;Таганский район;улица Земляной Вал, дом 44А;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.656277;55.753991;{type=Point, coordinates=[37.656276999906, 55.753990999931]}
99;Велосипедная парковка № 37159 «Спецшкола № 102»;2757811;Северо-Восточный административный округ;район Свиблово;проезд Нансена, дом 14;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.652058;55.854041;{type=Point, coordinates=[37.65205800019, 55.854041000026]}
41;Велосипедная парковка № 37091 «Школа надомного обучения № 265»;2757812;Северо-Восточный административный округ;район Отрадное;Алтуфьевское шоссе, дом 24А;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.587944;55.861687;{type=Point, coordinates=[37.587943999586, 55.861686999775]}
42;Велосипедная парковка № 37153 «Специальная начальная школа - детский сад № 1879»;2757813;Северо-Восточный административный округ;район Отрадное;улица Бестужевых, дом 27Б;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.614213;55.870720;{type=Point, coordinates=[37.614212999553, 55.870720000057]}
44;Велосипедная парковка № 37117 «Центр образования № 1682»;2757815;Северо-Восточный административный округ;район Бибирево;Белозерская улица, дом 7;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.611677;55.898552;{type=Point, coordinates=[37.611676999811, 55.898552000069]}
45;Велосипедная парковка № 37019 «Школа № 267»;2757816;Северо-Восточный административный округ;район Отрадное;улица Бестужевых, дом 23;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.609641;55.871956;{type=Point, coordinates=[37.60964099966, 55.871955999972]}
